,NumContrato,Categoría,Division,Clientes,CodFamilias,Familia,NumServicio,CodComercials,CodAlmacen,Delegacion,Montaje,ImpFactAlquiler,CodActividad,NumAlbsDev,PesoDev,CantidadDev,PesoDevueltoEnContrato,PesoArtSumEnContrato,PesoSumEnContrato,PesoTotalDevPorFamilia,PtjeCatEnFam
3201,142930,2,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,7,-155.6,-11,6528.009999999982,4803.019999999997,82097.34999999998,-220.7,70.50294517444496
3202,142930,2,6,915,11,ANDAMIOS BRIO                 ,7,552,71,7,1,29464.02000000003,2,3,-14.5,-6,6528.009999999982,4803.019999999997,82097.34999999998,-220.7,6.5700045310376085
3203,142930,2,6,915,11,ANDAMIOS BRIO                 ,8,552,71,7,1,29464.02000000003,2,1,-23.3,-1,6528.009999999982,4803.019999999997,82097.34999999998,-220.7,10.557317625736294
3204,142930,2,6,915,11,ANDAMIOS BRIO                 ,11,552,71,7,1,29464.02000000003,2,3,-27.3,-3,6528.009999999982,4803.019999999997,82097.34999999998,-220.7,12.36973266878115
3205,142930,4,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,2,-102.39999999999999,-5,6528.009999999982,4803.019999999997,82097.34999999998,-124.6,82.18298555377207
3206,142930,4,6,915,11,ANDAMIOS BRIO                 ,10,552,71,7,1,29464.02000000003,2,1,-22.2,-1,6528.009999999982,4803.019999999997,82097.34999999998,-124.6,17.81701444622793
3207,142930,0,6,915,11,ANDAMIOS BRIO                 ,1,552,71,7,1,29464.02000000003,2,513,-64005.319999999985,-7874,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,87.40407176261057
3208,142930,0,6,915,11,ANDAMIOS BRIO                 ,2,552,71,7,1,29464.02000000003,2,1,-2.8,-4,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,0.0038236103020078582
3209,142930,0,6,915,11,ANDAMIOS BRIO                 ,7,552,71,7,1,29464.02000000003,2,38,-932.5000000000002,-136,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,1.2733987880794033
3210,142930,0,6,915,11,ANDAMIOS BRIO                 ,8,552,71,7,1,29464.02000000003,2,12,-222.00000000000003,-36,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,0.30315767394490883
3211,142930,0,6,915,11,ANDAMIOS BRIO                 ,10,552,71,7,1,29464.02000000003,2,18,-1192.8,-158,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,1.6288579886553478
3212,142930,0,6,915,11,ANDAMIOS BRIO                 ,11,552,71,7,1,29464.02000000003,2,90,-6873.800000000001,-946,6528.009999999982,4803.019999999997,82097.34999999998,-73229.22000000002,9.386690176407724
3213,142931,2,6,1333,11,ANDAMIOS BRIO                 ,1,579,501,8,1,1971.6099999999992,2,4,-30.8,-5,225.79999999999998,403.8299999999999,5610.420000000001,-30.8,100.0
3214,142931,0,6,1333,11,ANDAMIOS BRIO                 ,1,579,501,8,1,1971.6099999999992,2,21,-5116.200000000002,-603,225.79999999999998,403.8299999999999,5610.420000000001,-5116.2,100.00000000000004
3215,142935,1,6,2606,11,ANDAMIOS BRIO                 ,1,576,81,7,1,6.190000000000808,2,2,-6.9,-2,1462.6999999999998,1174.8999999999996,20036.799999999985,-6.9,100.0
3216,142935,2,6,2606,11,ANDAMIOS BRIO                 ,1,576,81,7,1,6.190000000000808,2,6,-100.80000000000001,-11,1462.6999999999998,1174.8999999999996,20036.799999999985,-100.80000000000001,100.0
3217,142935,0,6,2606,11,ANDAMIOS BRIO                 ,1,576,81,7,1,6.190000000000808,2,150,-18797.300000000003,-2652,1462.6999999999998,1174.8999999999996,20036.799999999985,-18797.3,100.00000000000003
3218,142939,3,6,348,11,ANDAMIOS BRIO                 ,1,567,71,7,1,12618.7,2,2,-111.1,-8,2568.6299999999997,1935.2000000000014,42564.05,-111.1,100.0
3219,142939,2,6,348,11,ANDAMIOS BRIO                 ,1,567,71,7,1,12618.7,2,4,-36.0,-4,2568.6299999999997,1935.2000000000014,42564.05,-36.0,100.0
3220,142939,0,6,348,11,ANDAMIOS BRIO                 ,1,567,71,7,1,12618.7,2,103,-24941.000000000004,-3217,2568.6299999999997,1935.2000000000014,42564.05,-27124.300000000003,91.95076001961341
3221,142939,0,6,348,11,ANDAMIOS BRIO                 ,6,567,71,7,1,12618.7,2,33,-2183.2999999999997,-231,2568.6299999999997,1935.2000000000014,42564.05,-27124.300000000003,8.049239980386588
3222,142939,6,6,348,11,ANDAMIOS BRIO                 ,1,567,71,7,1,12618.7,2,11,-553.2,-99,2568.6299999999997,1935.2000000000014,42564.05,-711.8999999999999,77.70754319426888
3223,142939,6,6,348,11,ANDAMIOS BRIO                 ,6,567,71,7,1,12618.7,2,6,-158.7,-20,2568.6299999999997,1935.2000000000014,42564.05,-711.8999999999999,22.292456805731145
3224,142939,7,6,348,11,ANDAMIOS BRIO                 ,1,567,71,7,1,12618.7,2,2,-19.2,-3,2568.6299999999997,1935.2000000000014,42564.05,-19.2,100.0
3225,142946,1,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,35,-856.6,-68,13178.480000000003,10544.45,184954.88000000027,-856.6,100.0
3226,142946,3,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,31,-2950.0,-331,13178.480000000003,10544.45,184954.88000000027,-2957.2,99.75652644393345
3227,142946,3,6,214,11,ANDAMIOS BRIO                 ,8,552,71,7,1,92127.15999999999,2,1,-7.2,-1,13178.480000000003,10544.45,184954.88000000027,-2957.2,0.24347355606654944
3228,142946,2,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,38,-936.7000000000004,-67,13178.480000000003,10544.45,184954.88000000027,-936.7,100.00000000000004
3229,142946,4,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,15,-525.3999999999999,-27,13178.480000000003,10544.45,184954.88000000027,-525.3999999999999,100.0
3230,142946,0,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,910,-136550.4,-17074,13178.480000000003,10544.45,184954.88000000027,-136962.25999999983,99.69928942469272
3231,142946,0,6,214,11,ANDAMIOS BRIO                 ,4,552,71,7,1,92127.15999999999,2,5,-31.36,-49,13178.480000000003,10544.45,184954.88000000027,-136962.25999999983,0.022896818437429432
3232,142946,0,6,214,11,ANDAMIOS BRIO                 ,8,552,71,7,1,92127.15999999999,2,18,-380.49999999999994,-53,13178.480000000003,10544.45,184954.88000000027,-136962.25999999983,0.27781375686995846
3233,142946,6,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,286,-44718.0,-5404,13178.480000000003,10544.45,184954.88000000027,-48260.60000000001,92.65943647613165
3234,142946,6,6,214,11,ANDAMIOS BRIO                 ,8,552,71,7,1,92127.15999999999,2,49,-3542.6,-629,13178.480000000003,10544.45,184954.88000000027,-48260.60000000001,7.3405635238683296
3235,142946,7,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,11,-336.8,-22,13178.480000000003,10544.45,184954.88000000027,-353.8,95.19502543810063
3236,142946,7,6,214,11,ANDAMIOS BRIO                 ,8,552,71,7,1,92127.15999999999,2,1,-17.0,-1,13178.480000000003,10544.45,184954.88000000027,-353.8,4.804974561899378
3237,142946,8,6,214,11,ANDAMIOS BRIO                 ,1,552,71,7,1,92127.15999999999,2,2,-22.2,-2,13178.480000000003,10544.45,184954.88000000027,-22.2,100.0
3238,142965,1,6,530,11,ANDAMIOS BRIO                 ,1,552,71,7,1,11978.190000000006,2,6,-27.099999999999998,-6,2226.6000000000017,1710.1900000000005,32337.13999999999,-27.1,99.99999999999999
3239,142965,3,6,530,11,ANDAMIOS BRIO                 ,1,552,71,7,1,11978.190000000006,2,1,-106.0,-4,2226.6000000000017,1710.1900000000005,32337.13999999999,-106.0,100.0
3240,142965,2,6,530,11,ANDAMIOS BRIO                 ,1,552,71,7,1,11978.190000000006,2,9,-259.79999999999995,-10,2226.6000000000017,1710.1900000000005,32337.13999999999,-259.79999999999995,100.0
3241,142965,4,6,530,11,ANDAMIOS BRIO                 ,1,552,71,7,1,11978.190000000006,2,1,-18.0,-2,2226.6000000000017,1710.1900000000005,32337.13999999999,-18.0,100.0
3242,142965,0,6,530,11,ANDAMIOS BRIO                 ,1,552,71,7,1,11978.190000000006,2,193,-31527.3,-3596,2226.6000000000017,1710.1900000000005,32337.13999999999,-31542.699999999993,99.95117729300283
3243,142965,0,6,530,11,ANDAMIOS BRIO                 ,2,552,71,7,1,11978.190000000006,2,1,-15.399999999999999,-22,2226.6000000000017,1710.1900000000005,32337.13999999999,-31542.699999999993,0.0488227069971816
3244,142990,1,6,2794,11,ANDAMIOS BRIO                 ,1,569,81,7,1,11255.490000000002,2,12,-98.5,-16,3131.100000000004,1907.4800000000005,50816.96000000005,-98.5,100.0
3245,142990,5,6,2794,11,ANDAMIOS BRIO                 ,2,569,81,7,1,11255.490000000002,2,1,-30.799999999999997,-44,3131.100000000004,1907.4800000000005,50816.96000000005,-30.799999999999997,100.0
3246,142990,2,6,2794,11,ANDAMIOS BRIO                 ,1,569,81,7,1,11255.490000000002,2,9,-158.60000000000002,-33,3131.100000000004,1907.4800000000005,50816.96000000005,-158.6,100.00000000000003
